Reference,Cathode materials,Charge storage mechanism,Electrolyte/ anolyte,AlCl3/XCl molar ratio (r),Ic (mA g−1),Qc  (mAh g−1)#,Vavg (V)*,QAM (Ah kg−1),EAM (Wh kg−1),PAM (W kg−1),Max. cycle
63,Graphite carbon-encapsulated cobalt iron nanoparticles (CoFe@C),Al3+ Intercalation,AlCl3-EMIMCl,1.3,100,372,0.75,331,248,67,1000
,,,,1.3,1000,51,0.75,50,38,737,
64,Activated carbon cloth/sulfur composite (ACC/S),Type 1 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,50,1320,0.5,915,457,17,22
65,Activated carbonn anofiber paper/sulfur composite (CNF/S),Type 1 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,33.5,1340,1.05,924,971,24,10
,,,,1.3,83.75,1300,0.95,905,860,55,
,,,,1.3,167.5,1250,0.9,881,793,106,
66,Sulfur@mesoporous carbon composite (S@CMK-3),Type 1 Al Conversion (Example 1),AlCl3-EMIMBr,1.3,251,1500,0.5,998,499,83,20
,,,AlCl3-NBMPBr,1.3,251,1390,0.5,948,474,86,
67,Two-dimensional boron nitride-sulfur-conductive carbon composite (BN/S/C),Type 1 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,100,532,1,451,451,85,300
68,Sulfur@CMK-3 composite (S@CMK-3),Type 1 Al Conversion (Example 1),AlCl3-acetamide,1.3,100,1760,0.5,1107,553,31,60
69,Poly(vinylpyrrolidone)-iodine complex (PVP-I2),Type 1 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,42.2,203.2,0.74,190,141,29,155
70,Nitrogen-doped porous carbon/zinc selenide composite (NC@ZnSe),Type 1 Al Conversion (Example 2),AlCl3-EMIMCl,1.3,300,172.4,1.25,163,204,354,250
,,,,1.3,500,152,1.5,145,217,714,
,,,,1.3,800,146,1.1,139,153,839,
,,,,1.3,1000,142,1.25,136,169,1193,
,,,,1.3,1500,126,1.4,121,169,2015,
71,Three-dimensional hierarchical microsphere aluminum vanadium oxide (AlV3O9),Type 1 Al Conversion (Example 2),AlCl3-EMIMCl,1.3,100,327,0.4,295,118,36,100
,,,,1.3,150,198,0.4,186,74,56,
,,,,1.3,200,126,0.35,121,42,67,
,,,,1.3,300,94.5,0.35,92,32,102,
,,,,1.3,400,65.3,0.3,64,19,117,
72,Porous microspheric copper oxide (PM-CuO),Type 1 Al Conversion (Example 3),AlCl3-EMIMCl,1.3,50,250.12,0.7,231,162,32,100
,,,,1.3,100,220,0.6,205,123,56,
73,Hexagonal nickel sulfide nanobelt (NiS),Type 1 Al Conversion (Example 3),AlCl3-EMIMCl,1.3,200,110,0.7,106,74,135,100
,,,,1.3,250,103,0.65,100,65,157,
,,,,1.3,300,92,0.6,89,54,175,
74,Three-dimensional hierarchical copper sulfide/carbon microsphere composite (CuS@C),Type 1 Al Conversion (Example 3),AlCl3-EMIMCl,1.3,20,220,0.6,205,123,11,100
,,,,1.3,100,165,0.8,156,125,76,
,,,,1.3,150,130,0.5,125,62,72,
75,Metal-organic framework-derived carbon-coated iron disulfide/carbon nanotube composite (FeS2@C/CNT),Type 1 Al Conversion (Example 3),AlCl3-EMIMCl,1.3,100,286,0.75,261,196,68,2000
,,,,,,,,,,,
